Отметка времени,Ви працюєте зараз в ІТ?,Де ви мешкаєте?,Де ви працюєте?,Ваша стать,Ваш вік,Яка у вас освіта?,Вкажіть заклад вищої освіти,Знання англійської мови,Оберіть вашу посаду,Ваш тайтл,Вкажіть вашу спеціалізацію,Основна мова програмування,Інші мови програмування,"Фреймворки, бібліотеки та платформи","Платформи, для яких розробляєте на поточному місці роботи?",Ваш тайтл_1,Вкажіть вашу спеціалізацію_2,Яку мову програмування використовуєте у роботі?,Оберіть вашу посаду_3,Ваш тайтл_4,Ваша посада,Ваш тайтл_5,Оберіть вашу посаду_6,Ваш тайтл_7,Ваша посада_8,Ваш тайтл_9,Ваша посада_10,Ваш тайтл_11,Ваша посада_12,Ваш тайтл_13,Ваша посада_14,Ваш тайтл_15,Ваша посада_16,В якій сфері працюєте?,Тип компанії,Кількість спеціалістів у вашій компанії (в Україні),Загальний стаж роботи за спеціальністю,Стаж на поточному місці роботи,У скількох компаніях встигли попрацювати за час ІТ-кар'єри?,"Зарплата у $$$ за місяць, лише ставка після сплати податків",Наскільки змінилась ваша зарплата за останні 12 місяців?,Чи отримуєте ви грошові бонуси до зарплати?,Вкажіть суму цього бонуса у $$$ після податків
08/12/2020 16:24,"Так, працюю full-time",Харків,Віддалено,Чоловік,26,Вища,НТУ «ХПІ»,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Full-stack,C#/.NET,Інше,".NET, .NET Core, Unity 3D","Desktop, Mobile Android, Mobile iOS, Mobile cross-platform",,,,,,,,,,,,,,,,,,,"AR/VR, GameDev, Mobile",Аутсорсингова,понад 1000,1 рік,1 рік,1,700,200,"Ні, не отримую",
08/12/2020 17:12,"Так, працюю full-time",Одеса,В офісі,Чоловік,21,Вища,ОНПУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Mobile,Swift,SQL,,Mobile iOS,,,,,,,,,,,,,,,,,,,"Internet of Things, Mobile, Telecom",Стартап,до 200,1 рік,1 рік,1,700,300,"Ні, не отримую",
17/12/2020 09:53,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,21,Ще студент,НТУУ «КПІ»,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Front-end,JavaScript,"JavaScript, PHP, SQL","jQuery, WordPress, Phalcon",Web,,,,,,,,,,,,,,,,,,,"E-commerce, High Load Systems, Інша",Продуктова,до 50,2 роки,Менше як 3 місяці,2,700,250,"Ні, не отримую",
29/12/2020 16:52,"Так, працюю full-time",Чернівці,"Частково віддалено, частково в офісі",Чоловік,30,Вища,ЧНУ ім. Федьковича,Advanced,"Analyst (Business, Data, System)",,,,,,,,,,,,,,,,,,Business Analyst,Intern/Trainee,,,,,,Medtech,Аутсорсингова,понад 1000,Менше як 3 місяці,Менше як 3 місяці,1,700,0,Отримую бонус щороку,100
13/12/2020 20:01,"Так, працюю full-time",Харків,"Частково віддалено, частково в офісі",Чоловік,27,Вища,ХАІ,Upper-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Manager,General QA,JavaScript,,,,,,,,,,,,,,,,Travel,Аутсорсингова,до 1000,6 років,4 роки,2,3500,500,Отримую бонус щокварталу,700
22/12/2020 12:46,"Так, я фрилансер",Київ,Віддалено,Чоловік,30,Середня,,Pre-Intermediate,HTML Coder,,,,,,,,,,,,,,,,,,,,,,,,,Інша,Інша,Лише я,1 рік,1 рік,1,300,0,"Ні, не отримую",0
07/12/2020 11:20,"Так, працюю full-time",Київ,В офісі,Чоловік,25,Вища,Інший виш,Intermediate,"Analyst (Business, Data, System)",,,,,,,,,,,,,,,,,,System Analyst,Junior,,,,,,"Embedded, Інша",Продуктова,до 200,3 місяці,3 місяці,1,650,0,"Ні, не отримую",
07/12/2020 10:41,"Так, працюю full-time",Київ,Віддалено,Жінка,32,Вища,НТУУ «КПІ»,Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Senior,Manual QA,Не використовую,,,,,,,,,,,,,,,,Fintech,Аутсорсингова,понад 1000,7 років,2 роки,03-Apr,2150,150,"Ні, не отримую",
08/12/2020 17:36,"Так, працюю full-time",Львів,Віддалено,Чоловік,24,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Back-end,Java,Groovy,Spring,Web,,,,,,,,,,,,,,,,,,,Fintech,Аутсорсингова,до 50,1 рік,1 рік,1,700,250,"Ні, не отримую",
08/12/2020 20:19,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Чоловік,34,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Mobile,Swift,Swift,,Mobile iOS,,,,,,,,,,,,,,,,,,,Internet of Things,Аутсорсингова,до 50,1 рік,3 місяці,2,700,200,"Ні, не отримую",
29/12/2020 21:30,"Так, працюю full-time",Дніпро,"Частково віддалено, частково в офісі",Чоловік,34,Вища,ДонНТУ,Intermediate,"DevOps, SysAdmin",,,,,,,,,,,,,,,,,,,,,,DevOps Engineer,Middle,,"Cloud Computing, E-commerce",Продуктова,до 200,5 років,1 рік,2,2500,800,Отримую бонус щороку,2500
09/12/2020 20:16,"Так, працюю full-time",Кривий Ріг,"Частково віддалено, частково в офісі",Чоловік,32,Вища,Інший виш,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Back-end,Ruby,Не використовую,Ruby on Rails,Web,,,,,,,,,,,,,,,,,,,"E-commerce, Інша",Продуктова,до 200,1 рік,1 рік,1,700,0,"Ні, не отримую",
10/12/2020 15:12,"Так, працюю full-time",Тернопіль,"Частково віддалено, частково в офісі",Чоловік,22,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Mobile,Kotlin,"Dart, Java",Flutter,"Web, Desktop, Mobile Android, Mobile cross-platform",,,,,,,,,,,,,,,,,,,"Logistics, Mobile, Інша",Аутсорсингова,до 50,1 рік,1 рік,1,700,500,"Ні, не отримую",0
24/12/2020 22:42,"Так, працюю full-time",Запоріжжя,В офісі,Жінка,26,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Full-stack,PHP,Не використовую,WordPress,Web,,,,,,,,,,,,,,,,,,,E-commerce,Аутсорсингова,до 50,2 роки,Пів року,03-Apr,700,200,"Ні, не отримую",
10/12/2020 23:34,"Так, працюю full-time",Харків,Віддалено,Чоловік,20,Ще студент,ХНЕУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Full-stack,JavaScript,"Java, TypeScript",React.js,Web,,,,,,,,,,,,,,,,,,,Security,Аутсорсингова,до 200,Пів року,Пів року,1,700,200,"Ні, не отримую",
30/12/2020 12:03,"Так, працюю full-time",Дніпро,"Частково віддалено, частково в офісі",Жінка,26,Вища,ДНУ ім. Гончара,Intermediate,"Analyst (Business, Data, System)",,,,,,,,,,,,,,,,,,Business Analyst,Middle,,,,,,Інша,Інша,до 50,1 рік,1 рік,1,640,0,"Ні, не отримую",0
12/12/2020 13:22,"Так, працюю full-time",Львів,Віддалено,Чоловік,27,Вища,ЛНУ ім. Франка,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Back-end,JavaScript,JavaScript,,,,,,,,,,,,,,,,,,,,,E-commerce,Аутсорсингова,понад 1000,Пів року,Пів року,1,700,0,"Ні, не отримую",
18/12/2020 00:29,"Так, працюю full-time",Київ,Віддалено,Чоловік,25,Вища,,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Front-end,TypeScript,"Java, JavaScript",Angular/Angular.js,Web,,,,,,,,,,,,,,,,,,,Insurance,Продуктова,до 50,1 рік,Пів року,2,700,-500,Отримую бонус щороку,1400
07/12/2020 11:43,"Так, працюю full-time",Львів,Віддалено,Жінка,24,Вища,НУ «Львівська політехніка»,Upper-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Senior,Manual QA,,,,,,,,,,,,,,,,,E-commerce,Продуктова,до 50,3 роки,3 місяці,03-Apr,2150,550,Отримую бонус щороку,2400
30/12/2020 10:59,"Так, працюю full-time",Миколаїв,Віддалено,Жінка,27,Вища,ЧНУ ім. Петра Могили,Upper-Intermediate,HR,,,,,,,,,,,,,,Recruiter,Junior,,,,,,,,,,"Automotive, E-commerce, Machine Learning",Аутсорсингова,до 1000,1 рік,1 рік,1,500,100,"Ні, не отримую",
08/12/2020 21:17,"Так, працюю full-time",Дніпро,Віддалено,Жінка,29,Вища,Інший виш,Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Senior,Manual QA,Не використовую,,,,,,,,,,,,,,,,Media,Продуктова,до 10 спеціалістів,5 років,Пів року,03-Apr,2150,450,"Ні, не отримую",
22/12/2020 09:25,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Чоловік,23,Вища,НУ «Львівська політехніка»,Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Team Lead,General QA,Python,,,,,,,,,,,,,,,,Fintech,Продуктова,до 50,4 роки,2 роки,03-Apr,2750,550,"Ні, не отримую",0
20/12/2020 20:30,"Так, працюю full-time",Дніпро,Віддалено,Чоловік,25,Вища,НТУ «Дніпровська політехніка»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Back-end,Python,Не використовую,"Django, Flask",Web,,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,до 50,1 рік,1 рік,1,700,300,"Ні, не отримую",
23/12/2020 16:31,"Так, працюю full-time",Одеса,"Частково віддалено, частково в офісі",Чоловік,29,Дві вищих,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Front-end,JavaScript,TypeScript,React.js,"Web, Mobile Android, Mobile iOS",,,,,,,,,,,,,,,,,,,"Mobile, Інша",Аутсорсингова,до 50,Пів року,Пів року,03-Apr,700,200,"Ні, не отримую",0
24/12/2020 21:55,"Так, працюю full-time",Харків,Віддалено,Чоловік,24,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Full-stack,Java,"Groovy, JavaScript, SQL","Apache Spark, Spring",Web,,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,понад 1000,1 рік,1 рік,1,700,250,"Ні, не отримую",
25/12/2020 17:44,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,19,Ще студент,НТУУ «КПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Mobile,Kotlin,"Java, Kotlin",,Mobile Android,,,,,,,,,,,,,,,,,,,"Gambling, GameDev, Інша",Продуктова,до 50,Пів року,Пів року,2,700,200,"Ні, не отримую",
25/12/2020 20:06,"Так, працюю full-time",Інше,В офісі,Чоловік,22,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Front-end,TypeScript,Java,"Express, jQuery, Node.js",Web,,,,,,,,,,,,,,,,,,,Media,Аутсорсингова,до 200,1 рік,1 рік,1,700,200,"Ні, не отримую",
29/12/2020 22:05,"Так, працюю full-time",Київ,Віддалено,Жінка,27,Вища,КНУ ім. Шевченка,Intermediate,ERP/CRM,,,,,,,,,,,,,,,,,,,,,,,,,"Big Data, Data Science",Продуктова,до 200,2 роки,1 рік,2,1615,475,"Ні, не отримую",
28/12/2020 17:21,"Ні, тимчасово не працюю",Запоріжжя,Віддалено,Чоловік,23,Вища,Інший виш,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Back-end,Python,"JavaScript, PHP",Django,Web,,,,,,,,,,,,,,,,,,,E-commerce,Аутсорсингова,до 10 спеціалістів,1 рік,1 рік,2,700,300,"Ні, не отримую",
30/12/2020 15:27,"Так, працюю full-time",Дніпро,В офісі,Жінка,27,Вища,НУХТ,Intermediate,HR,,,,,,,,,,,,,,HR Manager,Middle,,,,,,,,,,Data Science,Аутстафінгова,до 50,2 роки,Менше як 3 місяці,03-Apr,500,500,"Ні, не отримую",
30/12/2020 16:14,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Жінка,23,Дві вищих,КНУ ім. Шевченка,Upper-Intermediate,HR,,,,,,,,,,,,,,Recruiter,,,,,,,,,,,"Machine Learning, Telecom",Продуктова,до 200,2 роки,Пів року,1,500,-,"Отримую бонус за гарні показники роботи, але нерегулярно",250
11/12/2020 22:59,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Жінка,20,Ще студент,НУ «Львівська політехніка»,Upper-Intermediate,"Data Science, Machine Learning, Big Data",,,,,,,,,,,,,,,,,,,,Machine Learning Engineer,Junior,,,,"Data Science, Embedded, Robotics",Продуктова,до 200,1 рік,Менше як 3 місяці,03-Apr,600,200,"Ні, не отримую",
07/12/2020 17:48,"Так, працюю full-time",Дніпро,"Частково віддалено, частково в офісі",Чоловік,20,Ще студент,ДНУ ім. Гончара,Intermediate,Support,,,,,,,,,,,,,,,,,,,,,,,,,Fintech,Продуктова,понад 1000,1 рік,1 рік,1,425,30,"Ні, не отримую",
29/12/2020 09:49,"Так, працюю full-time",Харків,В офісі,Чоловік,24,Вища,ХНУ ім. Каразіна,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Mobile,Kotlin,Java,,Mobile Android,,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,до 50,1 рік,1 рік,1,700,300,"Ні, не отримую",
29/12/2020 15:17,"Так, працюю full-time",Київ,В офісі,Чоловік,27,Вища,НАУ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Front-end,JavaScript,Не використовую,React.js,Web,,,,,,,,,,,,,,,,,,,Інша,Продуктова,до 10 спеціалістів,Пів року,Менше як 3 місяці,2,700,700,"Ні, не отримую",
29/12/2020 15:18,"Так, працюю full-time",Одеса,"Частково віддалено, частково в офісі",Чоловік,37,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Back-end,PHP,JavaScript,"jQuery, React.js, Yii","Web, Desktop",,,,,,,,,,,,,,,,,,,Manufacturing,Продуктова,до 50,1 рік,Пів року,2,700,-100,"Отримую бонус за гарні показники роботи, але нерегулярно",80
29/12/2020 15:26,"Так, працюю full-time",Одеса,Віддалено,Чоловік,21,Ще студент,ОНПУ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Back-end,Java,Scala,"Apache Spark, Spring, Project reactor",Web,,,,,,,,,,,,,,,,,,,High Load Systems,Стартап,до 10 спеціалістів,3 місяці,3 місяці,1,700,0,"Отримую бонус за гарні показники роботи, але нерегулярно",
29/12/2020 15:26,"Так, працюю full-time",Київ,В офісі,Чоловік,21,Ще студент,,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,PClell developer,Python,Інше,,"Desktop, Software for IC design",,,,,,,,,,,,,,,,,,,Embedded,Продуктова,до 10 спеціалістів,3 місяці,3 місяці,1,700,200,"Ні, не отримую",
03/01/2021 22:47,"Так, працюю full-time",Львів,Віддалено,Чоловік,23,Вища,НУ «Львівська політехніка»,Upper-Intermediate,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",,,,,,,,,,,,,,,,Project Manager,Junior,,,,,,,,"E-commerce, Інша",Аутсорсингова,до 1000,2 роки,3 місяці,03-Apr,850,450,"Ні, не отримую",
29/12/2020 15:19,"Так, працюю full-time",Одеса,В офісі,Чоловік,26,Вища,Інший виш,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Back-end,Go,SQL,,Web,,,,,,,,,,,,,,,,,,,"GameDev, High Load Systems",Стартап,до 50,Пів року,Пів року,1,700,150,"Ні, не отримую",
29/12/2020 15:20,"Так, працюю full-time",Дніпро,Віддалено,Чоловік,25,Вища,,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Front-end,JavaScript,"JavaScript, TypeScript","Express, Node.js, React.js",Web,,,,,,,,,,,,,,,,,,,"Insurance, Інша",Аутсорсингова,до 1000,Пів року,3 місяці,2,700,300,"Ні, не отримую",
29/12/2020 15:23,"Так, працюю full-time",Харків,В офісі,Чоловік,19,Ще студент,ХНУРЕ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Front-end,JavaScript,"JavaScript, TypeScript","Node.js, React.js",Web,,,,,,,,,,,,,,,,,,,E-commerce,Аутсорсингова,до 50,Пів року,3 місяці,2,700,500,"Ні, не отримую",
13/12/2020 21:09,"Так, працюю full-time",Харків,Віддалено,Чоловік,27,Вища,Інший виш,Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Senior,Manual QA,Не використовую,,,,,,,,,,,,,,,,Medtech,Аутсорсингова,понад 1000,6 років,2 роки,05-Jul,2150,400,"Отримую бонус за гарні показники роботи, але нерегулярно",1400
29/12/2020 15:25,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,19,Ще студент,КНУ ім. Шевченка,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Full-stack,C#/.NET,"C#/.NET, JavaScript",".NET Core, ASP.NET, jQuery",Web,,,,,,,,,,,,,,,,,,,Insurance,Продуктова,до 10 спеціалістів,Пів року,Пів року,1,700,700,"Отримую бонус за гарні показники роботи, але нерегулярно",150
08/12/2020 19:01,"Так, працюю full-time",Інше,Віддалено,Чоловік,32,Вища,ОНПУ,Pre-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Middle,Manual QA,Python,,,,,,,,,,,,,,,,E-commerce,Продуктова,до 10 спеціалістів,3 роки,2 роки,03-Apr,130,0,"Ні, не отримую",0
29/12/2020 15:26,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Чоловік,22,Ще студент,НУ «Львівська політехніка»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Back-end,TypeScript,"JavaScript, SQL","Express, Node.js",Web,,,,,,,,,,,,,,,,,,,Internet of Things,Аутсорсингова,до 200,1 рік,1 рік,1,700,400,"Ні, не отримую",
24/12/2020 09:32,"Так, працюю full-time",Київ,Віддалено,Чоловік,44,Вища,,Upper-Intermediate,"СTO, Director of Engineering, Program Director",,,,,,,,,,,,,,,,,,,,,,,,Director of Engineering,Інша,Продуктова,до 10 спеціалістів,10 і більше років,1 рік,8 і більше,8000,0,"Ні, не отримую",0
29/12/2020 15:30,"Так, працюю full-time",Дніпро,В офісі,Чоловік,24,Вища,НТУ «Дніпровська політехніка»,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Mobile,Dart,"Java, Kotlin, Swift",Flutter,Mobile cross-platform,,,,,,,,,,,,,,,,,,,Mobile,Аутсорсингова,до 200,1 рік,1 рік,1,700,700,"Ні, не отримую",
29/12/2020 15:40,"Так, працюю full-time",Київ,Віддалено,Чоловік,23,Вища,НТУУ «КПІ»,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Back-end,Python,Go,Django,"Web, Mobile Android",,,,,,,,,,,,,,,,,,,"Fintech, Media, Mobile",Аутсорсингова,до 10 спеціалістів,Пів року,Менше як 3 місяці,2,700,0,"Ні, не отримую",
29/12/2020 16:10,"Так, працюю full-time",Київ,Віддалено,Чоловік,32,Вища,Інший виш,Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Senior,General QA,Java,,,,,,,,,,,,,,,,"Big Data, Інша",Аутстафінгова,до 1000,5 років,2 роки,03-Apr,2150,200,"Ні, не отримую",
29/12/2020 23:05,"Так, працюю full-time",Харків,Віддалено,Чоловік,47,Вища,ХНУРЕ,Pre-Intermediate,"DevOps, SysAdmin",,,,,,,,,,,,,,,,,,,,,,System Administrator,Junior,,"E-commerce, Media",Продуктова,до 10 спеціалістів,3 роки,1 рік,03-Apr,2000,900,"Ні, не отримую",
29/12/2020 15:46,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,18,Ще студент,НТУУ «КПІ»,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Mobile,Kotlin,Не використовую,,Mobile Android,,,,,,,,,,,,,,,,,,,"Agriculture, Media, Mobile",Аутсорсингова,до 50,Менше як 3 місяці,Менше як 3 місяці,1,700,0,"Ні, не отримую",
03/01/2021 21:01,"Так, працюю full-time",Київ,Віддалено,Чоловік,34,Вища,ВНУ ім. Даля,Intermediate,Designer,,,,,,,,,,UI/UX Designer,Middle,,,,,,,,,,,,,,Інша,Інша,до 10 спеціалістів,1 рік,1 рік,1,580,0,Отримую бонус щомісяця,150
29/12/2020 17:00,"Так, працюю full-time",Київ,Віддалено,Жінка,27,Вища,ВНУ ім. Даля,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Front-end,JavaScript,JavaScript,React.js,Web,,,,,,,,,,,,,,,,,,,Інша,Продуктова,понад 1000,1 рік,1 рік,1,700,0,"Ні, не отримую",
25/12/2020 23:05,"Так, працюю full-time",Київ,Віддалено,Чоловік,33,Вища,НУХТ,Pre-Intermediate,"Analyst (Business, Data, System)",,,,,,,,,,,,,,,,,,Business Analyst,Middle,,,,,,"ERP, Gambling",Продуктова,до 50,1 рік,1 рік,1,633,77,"Отримую бонус за гарні показники роботи, але нерегулярно",180
29/12/2020 19:00,"Так, працюю full-time",Івано-Франківськ,Віддалено,Чоловік,23,Вища,Інший виш,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Front-end,TypeScript,"JavaScript, SQL","Angular/Angular.js, Express",Web,,,,,,,,,,,,,,,,,,,Insurance,Аутсорсингова,понад 1000,1 рік,1 рік,1,700,300,"Ні, не отримую",
31/12/2020 16:22,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Жінка,36,Вища,Інший виш,Intermediate,HR,,,,,,,,,,,,,,HR Manager,Junior,,,,,,,,,,Інша,Аутсорсингова,до 50,1 рік,1 рік,1,500,-,"Ні, не отримую",0
29/12/2020 23:19,"Так, працюю full-time",Харків,"Частково віддалено, частково в офісі",Жінка,22,Вища,ХНУ ім. Каразіна,Advanced,"Marketing, SEO, Copywriter",,,,,,,,,,,,Copywriter,Junior,,,,,,,,,,,,"Internet of Things, Machine Learning, Media",Продуктова,до 1000,Пів року,3 місяці,1,400,-,"Ні, не отримую",
28/12/2020 13:21,"Так, працюю full-time",Київ,,Чоловік,27,Вища,Інший виш,Upper-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Senior,Automation QA,JavaScript,,,,,,,,,,,,,,,,Інша,Продуктова,до 200,3 роки,3 роки,1,2145,400,"Ні, не отримую",0
30/12/2020 00:42,"Так, працюю full-time",Київ,Віддалено,Чоловік,19,Ще студент,НТУУ «КПІ»,Pre-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Front-end,JavaScript,Не використовую,"Node.js, Vue.js","Web, Desktop, Mobile Android, Mobile iOS, Mobile cross-platform",,,,,,,,,,,,,,,,,,,Blockchain,Стартап,до 10 спеціалістів,Менше як 3 місяці,Менше як 3 місяці,1,700,0,"Ні, не отримую",0
07/12/2020 13:19,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,26,Вища,ХАІ,Pre-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Senior,General QA,Java,,,,,,,,,,,,,,,,"Big Data, Cloud Computing, Embedded",Аутстафінгова,до 1000,5 років,3 роки,2,2100,810,"Ні, не отримую",
07/12/2020 10:34,"Так, працюю full-time",Київ,Віддалено,Чоловік,27,Вища,НТУУ «КПІ»,Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Team Lead,General QA,Java,,,,,,,,,,,,,,,,E-commerce,Продуктова,до 1000,5 років,3 роки,03-Apr,2700,200,"Ні, не отримую",
30/12/2020 13:12,"Так, працюю part-time",Одеса,"Частково віддалено, частково в офісі",Жінка,21,Ще студент,ОНАЗ ім. Попова,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Back-end,PHP,"JavaScript, SQL",Laravel,Web,,,,,,,,,,,,,,,,,,,Automotive,Стартап,до 50,2 роки,1 рік,2,700,100,Отримую бонус щороку,380
30/12/2020 07:24,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,20,Ще студент,,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Front-end,JavaScript,TypeScript,React.js,Web,,,,,,,,,,,,,,,,,,,ERP,Продуктова,до 10 спеціалістів,Пів року,3 місяці,2,700,0,"Ні, не отримую",
29/12/2020 23:30,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Жінка,29,Середня,,Upper-Intermediate,Sales Manager,,,,,,,,,,,,,,,,,,,,,,,,,"Media, Інша",Продуктова,до 50,3 роки,3 місяці,03-Apr,2500,700,Отримую бонус щомісяця,500
07/12/2020 11:36,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,21,Вища,Інший виш,Upper-Intermediate,Security Specialist,,,,,,,,,,,,,,,,,,,,,,,,,Security,Інша,до 50,2 роки,2 роки,1,1000,400,Отримую бонус щокварталу,
07/12/2020 17:45,"Так, працюю full-time",Одеса,Віддалено,Чоловік,37,Вища,ОНПУ,Pre-Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Senior,General QA,Не використовую,,,,,,,,,,,,,,,,Gambling,Аутстафінгова,понад 1000,7 років,3 роки,2,2100,0,Отримую бонус щокварталу,400
30/12/2020 11:35,"Так, працюю full-time",Київ,Віддалено,Чоловік,27,Середня,НТУУ «КПІ»,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Full-stack,JavaScript,TypeScript,"Express, React.js, React Native","Web, Mobile Android, Mobile iOS",,,,,,,,,,,,,,,,,,,"E-commerce, Fintech, Інша",Аутсорсингова,до 10 спеціалістів,Пів року,Пів року,03-Apr,700,200,"Ні, не отримую",
31/12/2020 19:01,"Так, я фрилансер",Чернігів,Віддалено,Чоловік,24,Вища,ЧНТУ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Full-stack,JavaScript,PHP,"jQuery, WordPress",Web,,,,,,,,,,,,,,,,,,,Інша,Інша,Лише я,2 роки,2 роки,2,700,0,"Ні, не отримую",
30/12/2020 18:52,"Так, працюю full-time",Харків,"Частково віддалено, частково в офісі",Чоловік,19,Ще студент,ХНУРЕ,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Front-end,JavaScript,"Ruby, TypeScript","React.js, Ruby on Rails",Web,,,,,,,,,,,,,,,,,,,"E-commerce, Інша",Аутсорсингова,до 50,1 рік,1 рік,1,700,500,"Ні, не отримую",
